,iFoodAtHome,iFoodAway,iHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple,ExpInc
0,0.13784702496356718,0.06696784693103318,0.27638739537632867,0.10722850028996661,0.02768198230699305,0.17729674593811937,0.10169530441970326,0.05073702308148045,0.02355391552318011,0.049145076882025865,0.00244358175370825,0.001208918934244899,0.022193664290691605,1.0
1,0.1494481617150129,0.06177587961313939,0.2886977500571688,0.12189450167935999,0.027753432040539268,0.15972536874936774,0.09500603991529667,0.05194922220682609,0.018098068502245525,0.03412360871550001,0.0046104828446853425,0.012132536398884336,0.025215477484844956,1.0
2,0.14738882861599895,0.062105114493525834,0.2501145898198019,0.10844401789783853,0.02442014983341144,0.1925468470145661,0.1124254524211513,0.06052910324639058,0.02780103098739833,0.02605008570162994,0.004489866664954774,0.005544927554839414,0.0218606562112818,1.0
3,0.1309919533729637,0.06436616646500781,0.27276251819313657,0.09486213767162924,0.029683855892822703,0.17817848343766987,0.11122965875813211,0.06357432663475196,0.027957699861469128,0.04426631244848931,0.006087576937240255,0.002776371280270749,0.026737060953583393,0.9907667232848345
4,0.12655198008713486,0.06313157375638025,0.2682190365664019,0.09813476526970207,0.02684360941222942,0.21372571003437033,0.10738805015242292,0.05856767258117569,0.017889552106559667,0.0389602225322573,0.006274126615587604,0.005930101527001143,0.031615905641095704,0.8302124022183364
5,0.11841658263064918,0.06102355869290021,0.27642664549674223,0.09568081690160993,0.030849264416646996,0.19900019489204052,0.12148367376860414,0.05141506819433418,0.0242729990487838,0.038338527474413714,0.007310463020576308,0.017760431194169687,0.041978225731470954,0.7246995773220724
6,0.11919610593803842,0.061112362678444325,0.285578469432496,0.08727573789655216,0.03143154098045746,0.19659398422556632,0.12426671060383808,0.05810228901470502,0.013485106587335084,0.037540317495518755,0.009905190195503493,0.016386833997531654,0.04087464904598683,0.6846508611621753
7,0.11005302349390993,0.06066737403030536,0.29457024960919026,0.08743075729578922,0.027800326317794534,0.21313847317735,0.10766832427664452,0.06268604044419654,0.0163896358935904,0.047376695959483496,0.010467998570403578,0.011018756528109611,0.04926747572806802,0.6174791936046005
8,0.10893997276160569,0.06742690929785163,0.3035066523279091,0.08633036805597558,0.03079472744149392,0.20134562716247165,0.10775982810537446,0.06483485268762373,0.017993436100985635,0.04660342074763147,0.01036904598581171,0.014651331998130781,0.060556336581845414,0.5558126979661506
9,0.10338579136756738,0.07100935525373336,0.32391017180818316,0.08132354931979764,0.03348192204920434,0.19156038435810163,0.09415106661533897,0.06541710450288925,0.015678321672154414,0.048545839890771346,0.007194110307241602,0.025606235052385278,0.06126399918393061,0.5083798490270915
10,0.10159428304682468,0.06730968430880119,0.3165528802156913,0.07396185002851333,0.03692827081134276,0.18736200595885458,0.10172077630154414,0.06207788880664021,0.015957487427654356,0.02990549340375243,0.030347911875955317,0.035176948913722236,0.0588956042670227,0.47294037603344546
11,0.08155071585974827,0.0663522234580855,0.3122640022114243,0.06202542269402506,0.031949809474725116,0.1939285615813906,0.07833215217661581,0.060840024113978444,0.008516346976678139,0.07759911793498861,0.007337008200227223,0.08419864803761845,0.06489393172277894,0.4426708707975922
12,0.0846684371342146,0.06529174551865945,0.31099519265072967,0.0650229808167042,0.03613201875193324,0.18105798029352166,0.08590915447007348,0.09362681418564965,0.012095368046000273,0.06180928188941012,0.008669431085382815,0.050676397542974136,0.05595480238525326,0.3817668850617254
13,0.0671341409589827,0.0670976849549963,0.2931903120149227,0.049779034971343464,0.04017048848246286,0.2070876479480561,0.07817594090795794,0.07016627009952967,0.02357938837611919,0.09172521758055975,0.010061037864202479,0.04120088261760663,0.039368115046410065,0.3913537230934501
