NEWID,INCLASS,FINCBTXM,iTotalExp,iFoodAtHome,iFoodAway,iHousing,otherHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple
2843974,1,22100.0,33404.0,2103.999999999996,1064.0000000000005,17012.0,2956.000000000004,2660.0,779.9999999999995,3312.0,0.0,516.0,0.0,3000.0,0.0,0.0,13584.0
2844224,1,36968.0,23855.999999999996,4971.999999999995,136.0,7200.0,792.0,4152.0,300.00000000000034,1604.0,2204.0,1296.0,1200.0,0.0,0.0,0.0,0.0
2845224,1,3800.0,44014.8,8840.000000000004,519.9999999999995,3336.0,10084.0,7292.0,3400.0,1624.0,7750.799999999999,1168.0,0.0,0.0,0.0,0.0,2964.0
2845764,3,55917.4,63927.99999999998,7768.000000000005,3271.999999999996,6000.0,18940.000000000004,7004.0,40.0,15100.0,3999.9999999999964,1804.0,0.0,0.0,0.0,0.0,2660.0
2845874,3,57199.4,28136.0,6452.000000000004,780.0,5568.0,1156.0,5552.0,1459.9999999999998,3160.0,48.0,1220.0,2340.0,400.0,0.0,0.0,0.0
2846084,7,105000.0,78580.0,9140.000000000004,2079.999999999996,12888.0,13519.999999999996,8240.0,6116.000000000004,14416.000000000002,2519.999999999996,7200.0,0.0,2100.0,360.0,0.0,6664.0
2846264,5,73961.0,83501.60000000006,8900.000000000004,2704.000000000004,14400.000000000036,19980.000000000004,6568.0,2988.0,3888.0,8581.599999999999,6252.0,0.0,9240.0,0.0,0.0,12356.00000000004
2846334,10,240178.8,63695.999999999985,10200.0,5100.0,14400.0,12944.0,6524.0,1899.999999999996,9036.0,2236.0,1356.0,0.0,0.0,0.0,0.0,6464.0
2846354,2,42523.6,41151.999999999985,3639.9999999999964,1584.0,10944.0,5836.0,4056.0,0.0,9636.000000000002,1148.0,664.0,200.0,3444.0,0.0,0.0,0.0
2846494,9,135839.4,59106.79999999998,7000.0000000000055,2079.999999999996,9780.0,8192.0,9572.0,4952.000000000001,4864.0,4006.7999999999997,2500.0,100.0,5400.0,660.0,0.0,1284.0
2867354,5,78662.8,51577.60000000002,4280.000000000004,2900.0000000000036,21600.0,4616.000000000004,1388.0,2612.0,2596.0,7977.599999999999,3608.0,0.0,0.0,0.0,0.0,5988.0
2868034,1,35390.0,29869.6,4680.0,2079.999999999996,11664.0,948.0,2212.0,248.0,1480.0,2517.6000000000004,2084.0,0.0,1200.0,756.0,0.0,0.0
2868834,8,112822.9,67667.99999999999,6979.999999999992,6920.000000000004,13872.0,9048.0,7824.0,927.9999999999998,9160.0,6356.0,2408.0,272.0,2400.0,1500.0,0.0,6296.0
2869374,6,89281.0,67213.59999999995,9099.999999999996,2079.999999999996,11484.0,5684.000000000004,5072.0,56.000000000000036,3852.0,20517.600000000002,2108.0,2460.0,4800.0,0.0,0.0,9284.0
2870814,1,17547.0,14858.800000000001,3380.0000000000036,260.0000000000004,2880.0,0.0,2024.0,180.0,120.0,1258.8000000000002,3468.0,260.0000000000004,60.0,968.0,0.0,0.0
2871464,1,30871.2,40781.60000000002,5876.000000000005,5720.000000000005,10440.0,472.0,1476.0,2076.0,1492.0,10229.599999999999,1812.0,360.0,320.0,508.0,0.0,0.0
2871564,3,58720.0,47431.999999999985,3900.0,2079.999999999996,15564.0,5916.0,6420.0,2704.0,2844.0,4144.0,1060.0,400.0,2400.0,0.0,0.0,9208.0
2871894,9,159242.0,61679.99999999996,2236.0000000000045,468.0,15459.99999999996,1908.0,4524.0,3076.0,16928.0,7572.0,1692.0,300.0,6500.0,1016.0,0.0,0.0
2872254,5,72000.0,54684.00000000001,8480.000000000004,675.9999999999995,14628.0,580.0,2656.0,2724.000000000001,6472.0,15740.000000000004,1672.0,448.0,200.0,408.0,0.0,0.0
2872424,1,21515.0,21586.799999999992,1299.999999999996,780.0,7800.0,500.0,1820.0,0.0,4744.0,2434.8,1428.0,780.0,0.0,0.0,0.0,0.0
2873284,1,23156.2,23683.99999999999,6499.999999999992,519.9999999999995,7860.0,468.0,596.0,744.0,3800.0,1200.0,612.0,1299.999999999996,0.0,84.0,0.0,0.0
2874194,4,68181.6,52669.59999999999,5040.0,1040.0000000000005,9804.0,13912.000000000004,4848.0,1380.0,4728.0,9437.599999999999,2080.0,0.0,400.0,0.0,0.0,5907.999999999995
2875044,2,45799.4,48882.8,7800.0,3200.0000000000036,11400.0,6668.0,4584.0,0.0,4056.0,1378.8000000000002,7396.0,0.0,2400.0,0.0,0.0,7416.0
2876174,6,88644.4,61333.6,4047.9999999999964,3560.0000000000036,11808.0,8680.0,3356.0,5515.999999999999,1455.9999999999998,4641.6,8260.0,3788.0,6220.0,0.0,0.0,4564.0
2877914,4,62088.6,42174.80000000001,6759.999999999999,519.9999999999995,24000.0,2080.0,2720.0,1400.0,1796.0000000000002,1458.8000000000002,1440.0,0.0,0.0,0.0,0.0,0.0
