iTotalExp,iFoodAtHome,iFoodAway,iHousing,otherHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple,ExpInc
1.0,0.1433336473819389,0.056490727691622535,0.24121309241611752,0.11898183391898272,0.1046464003739508,0.023761644377136775,0.10377302840611573,0.12280772872686466,0.045394095122060996,0.011119836754366369,0.023669107206409048,0.0048088576244338386,0.0,0.06676403105334977,1.0
1.0,0.1296170628921662,0.05554871228267943,0.24233323255058736,0.11290404860465668,0.10104030190031467,0.02378099536026099,0.11928098354006239,0.12233009708737866,0.04797134286165764,0.015042260320588672,0.02414431093841179,0.006006651661235597,0.0,0.07108045324862607,0.8972734446206396
1.0,0.1330565199674973,0.05464534131445443,0.21502965517077044,0.13044700791360564,0.10466809799431442,0.027224376097622585,0.12224078235320751,0.12681666217887466,0.04710322954222139,0.013747894113526048,0.01962078554629138,0.0053991712279313825,0.0,0.06832055702633341,0.7592772213938733
1.0,0.12462987057543735,0.06073356756470901,0.20604370269718641,0.14387507096651256,0.09808763003971503,0.02824084777830564,0.12836689391975967,0.12018132462956464,0.048696466993087134,0.008796788183480177,0.02815496682547723,0.00419243277357017,0.0,0.06613467094920525,0.7041164351207172
1.0,0.13270817003236066,0.06012464764035398,0.21499381245252952,0.15109185420869112,0.08720471416266352,0.028218218100314635,0.10696231124370653,0.12383073970543701,0.053823493986661336,0.010503442571314477,0.02447795299135719,0.0060606429046099405,0.0,0.0632110122766869,0.6947561845440383
1.0,0.12120603779409027,0.05196048991137985,0.21647377063145049,0.13946130774135956,0.09654569120566686,0.02361557461433375,0.10545635658468236,0.14578846918444596,0.05051346674726602,0.0123605564934582,0.030792347236349788,0.0058261182555122675,0.0,0.07481145174467599,0.6301729190918135
1.0,0.12607963279107662,0.05879568579359744,0.2005787850644719,0.17506855480389402,0.09991940549919112,0.031138834381416132,0.1147302484832181,0.10635230535456816,0.047791182910300774,0.010036929067310152,0.024435820169076194,0.005072615681879321,0.0,0.09355394260674647,0.5485342877404886
1.0,0.11139684005397325,0.07111588882315772,0.21560077712870426,0.15372635783515934,0.09585027232321998,0.032111862360220234,0.1256692612050843,0.11739790028005874,0.04305149944896373,0.006264293561427218,0.022475716464359582,0.00533950415243641,0.0,0.09468864236712751,0.4823390905995138
1.0,0.10647616406021672,0.05939252745288937,0.2402330261191043,0.1852492183132195,0.0889407221116681,0.03179288759657453,0.10603963566167093,0.09813853369893749,0.04057697450761023,0.006679784236453813,0.03233505772909674,0.00414546851255818,0.0,0.07408014127759172,0.4501202088829655
1.0,0.11153406433124387,0.06775456459999744,0.24563618950865224,0.1829208652949153,0.09059448173110989,0.0315681291057317,0.1216729740279734,0.07369580640995749,0.0419121130000198,0.008136481310914646,0.021925800372975,0.0026486780544900464,0.0,0.08284938482173171,0.31627002708883845
